algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dcesca,24576,1024,32,79,51900136,45954350,10780962,3351052,0.562200
dcesca,24576,1024,32,80,49586177,45140631,10701570,2901431,0.562800
dcesca,24576,1024,32,81,48325255,42243422,10436482,3329892,0.532200
dcesca,24576,1024,32,82,48959042,42944348,10624228,2750099,0.545400
dcesca,24576,1024,32,83,45463873,40889665,9970153,2699042,0.530200
dcesca,24576,1024,32,84,44949958,39217551,10403694,2710518,0.531600
dcesca,24576,1024,32,85,46569094,41047686,10708500,2787507,0.572500
dcesca,24576,1024,32,86,45960515,39663350,10757308,2808223,0.557500
dcesca,24576,1024,32,87,44127939,38194910,10611743,2845586,0.567100
dcesca,24576,1024,32,88,44418465,38085840,10804018,2929996,0.582700
dcesca,24576,1024,32,89,49470455,44994025,10074774,2740001,0.539600
dcesca,24576,1024,32,90,49269893,44602364,10369146,2786466,0.552900
dcesca,24576,1024,32,91,45219062,40684039,10156736,2644253,0.542500
dcesca,24576,1024,32,92,46297733,41941360,10445999,2825650,0.560900
dcesca,24576,1024,32,93,44273446,38662804,10567924,2734997,0.538600
dcesca,24576,1024,32,94,45529302,39614340,10642344,2841624,0.577200
dcesca,24576,1024,32,95,44585335,38584984,10662432,2829138,0.566600
dcesca,24576,1024,32,96,42627699,36107757,10692542,2776231,0.551500
dcesca,24576,1024,32,97,55568400,53271409,10159108,2722146,0.541600
dcesca,24576,1024,32,98,56204324,54241499,10108925,3020694,0.530700
dcesca,24576,1024,32,99,63506491,58862154,10471274,3938908,0.535600
dcesca,24576,1024,32,100,64508197,58407810,10548157,3948885,0.538000
dcesca,24576,1024,32,101,57969395,55068096,10733746,4022799,0.548900
dcesca,24576,1024,32,102,51264029,51183829,10551384,3960512,0.536800
dcesca,24576,1024,32,103,50172723,45271430,10578573,3304219,0.554000
dcesca,24576,1024,32,104,50419854,45774847,10844548,2885335,0.578600
dcesca,24576,1024,32,105,58284275,53035997,10343550,3234787,0.525100
dcesca,24576,1024,32,106,67120555,64205707,10240106,3795334,0.519200
dcesca,24576,1024,32,107,63396506,60424040,10227866,3878703,0.528000
dcesca,24576,1024,32,108,62076928,58977388,10273292,3966356,0.539100
dcesca,24576,1024,32,109,58810701,56441750,10721751,4005738,0.548900
dcesca,24576,1024,32,110,56676430,55506450,10629691,3987960,0.544100
dcesca,24576,1024,32,111,48466429,43649424,10558377,3165493,0.540000
dcesca,24576,1024,32,112,51110160,45284797,10772990,2927609,0.578500
dcesca,24576,1024,32,113,47456482,41906814,10153968,2691316,0.520800
dcesca,24576,1024,32,114,49088803,45180305,10333758,2824044,0.553400
dcesca,24576,1024,32,115,45964909,41404679,10170216,2734293,0.538800
dcesca,24576,1024,32,116,44978340,40481891,10070430,2749043,0.542100
dcesca,24576,1024,32,117,45009224,38970115,10566134,2805072,0.543700
dcesca,24576,1024,32,118,46334782,40539386,10749459,2919179,0.578500
dcesca,24576,1024,32,119,41994216,35798614,10545265,2724808,0.539700
dcesca,24576,1024,32,120,44749275,38383263,10835383,2964467,0.585000
dcesca,24576,1024,32,121,49028194,45644048,10139800,2719300,0.537700
dcesca,24576,1024,32,122,48372495,44761116,10203600,2766760,0.547600
dcesca,24576,1024,32,123,45458807,40843401,10009536,2689220,0.533700
dcesca,24576,1024,32,124,45542486,39121665,10487645,2767342,0.537200
dcesca,24576,1024,32,125,46742312,41422623,10714605,2885962,0.569500
dcesca,24576,1024,32,126,46121525,40355549,10630027,2881495,0.565300
dcesca,24576,1024,32,127,44646065,38481164,10631572,2862064,0.565400
dcesca,24576,1024,32,128,44154306,37864160,10685367,2956970,0.576600
dcesca,24576,2048,32,1,54877362,49214656,10537186,2664541,0.532800
dcesca,24576,2048,32,2,58513889,52008717,10348109,2999488,0.521700
dcesca,24576,2048,32,3,64548785,57496130,10534448,3858216,0.532200
dcesca,24576,2048,32,4,65046526,57622533,10603451,3877127,0.534900
dcesca,24576,2048,32,5,59626678,54521589,10667099,3928688,0.540000
dcesca,24576,2048,32,6,55324931,53014879,10603481,3911567,0.538900
dcesca,24576,2048,32,7,48310972,43499523,10710153,3076004,0.543900
dcesca,24576,2048,32,8,47858887,43113170,10589895,2709416,0.539200
dcesca,24576,2048,32,9,59656219,54063827,10344559,3247486,0.522600
dcesca,24576,2048,32,10,70381046,64360492,10430592,3826545,0.528200
dcesca,24576,2048,32,11,64332172,58065830,10476354,3836337,0.528600
dcesca,24576,2048,32,12,63892231,56283181,10394697,3805278,0.524800
dcesca,24576,2048,32,13,58959993,54005782,10302867,3806181,0.523900
dcesca,24576,2048,32,14,59302643,54103621,10543429,3919294,0.537700
dcesca,24576,2048,32,15,48349729,42654187,10630042,3073479,0.538900
dcesca,24576,2048,32,16,49571528,44522103,10807859,2771565,0.560100
dcesca,24576,2048,32,17,46443057,40664019,9982607,3180824,0.505100
dcesca,24576,2048,32,18,47155458,41000323,10216483,2557334,0.515000
dcesca,24576,2048,32,19,45137763,37870630,10267937,2615580,0.522800
dcesca,24576,2048,32,20,46321231,39189292,10616548,2725527,0.543300
dcesca,24576,2048,32,21,44121835,38266931,10392387,2674929,0.535600
dcesca,24576,2048,32,22,44584725,38582116,10544056,2701674,0.539800
dcesca,24576,2048,32,23,42738538,36072906,10790447,2748400,0.551000
dcesca,24576,2048,32,24,41857437,35047640,10460564,2673690,0.537000
dcesca,24576,2048,32,25,48006713,41526871,10370784,2624164,0.526100
dcesca,24576,2048,32,26,47804687,41516007,10281248,2608711,0.527000
dcesca,24576,2048,32,27,45391730,37917017,10359523,2618365,0.527300
