algorithm,task,matrix_size,tile_size,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,2,63800132936,58479031811,10573948147,3855368235,487.952
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,3,65449203116,58731080666,10842064688,3833312658,497.228
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,4,63469020197,57509031975,10499612117,3940795801,482.678
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,5,66831360283,59495383397,10955253109,3893388414,505.353
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,6,64336614472,57776551615,10583090646,3931024441,487.458
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,7,62786071751,57816693907,10350032601,3863936097,477.152
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,8,67341696745,59251867358,10978896705,3963361893,507.125
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,9,65446922422,58880155968,10798625770,3865199282,497.032
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,10,67565409613,59651584902,10994047790,3918863694,507.494
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,11,66202434586,59170690014,10764490216,4010149691,499.054
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,12,64232885429,58310191607,10602624616,3870121796,488.34
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,13,63497031417,57379630268,10477535610,3882400215,482.817
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,14,64380646159,57449095361,10612350397,3858375802,487.617
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,15,65143190899,58020465786,10738696726,3836172229,493.358
qr,geqrt,32768,2048,0.809961,0.054746,0.004254,0.319993,158.640793,16,66119649886,58817017335,10810658929,3908122498,499.331
qr,ormqr,32768,2048,0.598072,0.006169,0.003566,1.573058,94.3955,1,64442481267,57687245631,10549737870,3946334478,487.046
qr,ormqr,32768,2048,0.598072,0.006169,0.003566,1.573058,94.3955,2,63800132936,58479031811,10573948147,3855368235,487.952
